GEO_ID,TotPop,walkability
1400000US18097360501,2515,14.66666667
1400000US18097352100,625,13.5
1400000US18097352300,596,13
1400000US18097111102,2634,9.333333333
1400000US18097111102,725,8.666666667
1400000US18097340112,1986,8.166666667
1400000US18097340202,2207,18.16666667
1400000US18097330806,2296,10.5
1400000US18097320700,1994,17.5
1400000US18097321400,1719,15.5
1400000US18097310110,1018,6
1400000US18097320106,1152,6.5
1400000US18097320902,1865,11
1400000US18097320203,899,10
1400000US18097320301,827,12
1400000US18097320303,2008,7.833333333
1400000US18097330105,1427,16.83333333
1400000US18097320204,1375,8.333333333
1400000US18097330803,1178,14
1400000US18097342101,3554,9
1400000US18097340113,1440,8.5
1400000US18097340102,2375,17.83333333
1400000US18097360401,1044,12
1400000US18097360302,1165,10.83333333
1400000US18097360401,1777,13.66666667
1400000US18097356200,1144,19.33333333
1400000US18097357300,1345,13.5
1400000US18097357100,787,13.16666667
1400000US18097361400,1210,5.666666667
1400000US18097357800,1043,14.83333333
1400000US18097360102,981,12.5
1400000US18097360201,1094,10.5
1400000US18097360800,1778,14.83333333
1400000US18097360900,719,14.66666667
1400000US18097310108,1406,6.5
1400000US18097310104,1639,10.66666667
1400000US18097310105,3170,14.66666667
1400000US18097310106,2556,15.66666667
1400000US18097330803,1254,12.5
1400000US18097330804,1004,12.83333333
1400000US18097320903,2277,9.5
1400000US18097350300,777,14.16666667
1400000US18097330103,1540,9.333333333
1400000US18097330108,2654,5.666666667
1400000US18097330106,1772,11.33333333
1400000US18097330202,1489,7.333333333
1400000US18097330204,1885,6.166666667
1400000US18097380100,3232,5.833333333
1400000US18097381201,1281,8.666666667
1400000US18097330803,1458,12.5
1400000US18097330204,1998,9.666666667
1400000US18097360501,2219,5.166666667
1400000US18097360404,1574,3.5
1400000US18097360404,3593,4.333333333
1400000US18097330202,6603,7.333333333
1400000US18097330107,1673,5.833333333
1400000US18097380200,1068,17.33333333
1400000US18097340112,935,6.666666667
1400000US18097390500,1660,15.33333333
1400000US18097390600,3224,9
1400000US18097390700,1157,13.16666667
1400000US18097390900,1557,16.66666667
1400000US18097391000,2902,18.5
1400000US18097610606,1342,9.833333333
1400000US18097340109,1140,9.333333333
1400000US18097310104,827,14.16666667
1400000US18097340114,2633,6.833333333
1400000US18097310111,1817,5.666666667
1400000US18097310104,555,9.833333333
1400000US18097330203,1295,5.833333333
1400000US18097330208,803,10.83333333
1400000US18097381102,2228,6
1400000US18097320902,2351,9.5
1400000US18097330105,1558,8.833333333
1400000US18097320903,1310,3.666666667
1400000US18097320303,1432,14.16666667
1400000US18097320301,1249,7.833333333
1400000US18097330203,2878,7.666666667
1400000US18097391000,743,14.5
1400000US18097391000,2336,18.5
1400000US18097310309,1132,14.16666667
1400000US18097310311,1614,5.666666667
1400000US18097340500,2061,12
1400000US18097330805,517,18.83333333
1400000US18097340101,1002,10
1400000US18097340102,1258,14.5
1400000US18097330209,2443,5
1400000US18097330700,1676,6.5
1400000US18097330106,941,5.5
1400000US18097370201,2746,7.5
1400000US18097360501,1530,4.666666667
1400000US18097361600,3897,4.166666667
1400000US18097330203,1792,6.333333333
1400000US18097330804,2080,11.33333333
1400000US18097330208,2052,8
1400000US18097340101,1340,12
1400000US18097330206,1558,4.833333333
1400000US18097340110,1087,5.166666667
1400000US18097340202,1445,14.66666667
1400000US18097340113,2740,10.16666667
1400000US18097340201,1019,12
1400000US18097320204,1408,16
1400000US18097320301,1263,7
1400000US18097320106,1004,10
1400000US18097320109,1217,4.5
1400000US18097320105,2283,6
1400000US18097320108,879,12.16666667
1400000US18097310312,2173,15.5
1400000US18097310311,3088,5.5
1400000US18097340500,1729,9.833333333
1400000US18097342300,2454,6.5
1400000US18097342300,1983,12
1400000US18097390900,745,16.33333333
1400000US18097390900,477,13.16666667
1400000US18097353300,961,14.83333333
1400000US18097353300,630,17.66666667
1400000US18097353500,1405,15.66666667
1400000US18097353600,655,11.33333333
1400000US18097353600,377,12.83333333
1400000US18097354200,4869,18
1400000US18097310201,909,12.5
1400000US18097342000,1388,7.166666667
1400000US18097342000,5422,7.666666667
1400000US18097342200,2283,12.66666667
1400000US18097342200,1225,13
1400000US18097330103,2217,8.833333333
1400000US18097330103,1216,10.16666667
1400000US18097330105,2338,14.66666667
1400000US18097330106,1280,18.33333333
1400000US18097330107,1355,5.5
1400000US18097322500,626,16
1400000US18097322500,887,12.16666667
1400000US18097322400,690,15.5
1400000US18097322600,1307,15.66666667
1400000US18097322400,1495,10.33333333
1400000US18097330204,2781,5.666666667
1400000US18097330209,3905,9.5
1400000US18097322600,1328,14
1400000US18097322600,646,13.83333333
1400000US18097322700,441,12.16666667
1400000US18097321700,974,17
1400000US18097321700,812,13.5
1400000US18097321700,872,10.66666667
1400000US18097321800,922,16.83333333
1400000US18097321800,757,12.83333333
1400000US18097321900,2081,14.5
1400000US18097321900,909,14.33333333
1400000US18097321900,1695,15.16666667
1400000US18097322000,1050,11.16666667
1400000US18097322000,1182,10.5
1400000US18097322100,1135,15.33333333
1400000US18097322200,947,11.66666667
1400000US18097322300,1062,13.83333333
1400000US18097322300,737,17
1400000US18097321600,3083,8.333333333
1400000US18097350500,375,12
1400000US18097350500,756,11.83333333
1400000US18097350600,585,11.33333333
1400000US18097350600,828,10.83333333
1400000US18097350600,1119,9.333333333
1400000US18097342600,712,10.33333333
1400000US18097342600,865,13
1400000US18097342600,706,12.33333333
1400000US18097342600,594,10.66666667
1400000US18097350400,1010,11
1400000US18097350700,786,12.33333333
1400000US18097350700,580,11.83333333
1400000US18097350900,545,13
1400000US18097351000,1011,12.83333333
1400000US18097390500,438,12.5
1400000US18097351500,731,12.33333333
1400000US18097351500,305,11.83333333
1400000US18097351600,1588,16.66666667
1400000US18097351600,752,17.66666667
1400000US18097111101,1294,5.666666667
1400000US18097111101,2535,8.333333333
1400000US18097110804,9643,8.333333333
1400000US18097111102,1486,6.5
1400000US18097110811,1005,6.166666667
1400000US18097310103,2088,10.16666667
1400000US18097310105,576,5.5
1400000US18097361000,1040,14
1400000US18097352500,654,13.33333333
1400000US18097340600,1352,15.33333333
1400000US18097350300,861,13
1400000US18097350800,1059,13.16666667
1400000US18097342500,590,14.16666667
1400000US18097355300,1298,12.16666667
1400000US18097355900,389,11.16666667
1400000US18097352400,1028,13.66666667
1400000US18097356900,612,13.16666667
1400000US18097360405,2580,5
1400000US18097360800,593,17
1400000US18097361100,972,13.33333333
1400000US18097380901,1037,6.833333333
1400000US18097322100,918,12
1400000US18097354700,864,13
1400000US18097321100,601,5.5
1400000US18097351000,716,13.5
1400000US18097380404,1092,13.16666667
1400000US18097330805,397,13.5
1400000US18097390300,1028,3.666666667
1400000US18097350500,1131,13.83333333
1400000US18097381101,3459,5.833333333
1400000US18097381203,1419,15
1400000US18097310103,931,3.666666667
1400000US18097320903,1597,10.33333333
