GEO_ID,index,income,percentPoverty,owneroccupied,foodstamps,healthinsurance,artcount,mobility,crimes,walkability,TOT_PARK_AREA_SQMILES
1400000US18097350700,29.25,8.8,35,53.1,20.1,1536,7,528,145,12.08333333,0.200229913
1400000US18097350800,28.725,18.3,31.9,35.4,29.3,1608,6,476,187,12.58333334,0.037244956
1400000US18097350900,28.675,12.1,13.4,66.5,22.7,1366,8,183,103,12.5,0.040181438
1400000US18097351000,28.4,16.6,37.7,38.9,20.4,2609,15,973,212,13.5,0
1400000US18097351200,37.95,36.1,36.2,44.8,34.7,2746,45,923,283,14.66666667,0.043520984
1400000US18097351500,21.95,21.5,24.4,33.1,8.8,1599,5,387,159,13.16666666,0.044156585
1400000US18097351600,21.075,15.1,10.8,54.2,4.2,2512,3,276,197,17.16666667,0.03644445
1400000US18097351700,20.35,9.6,14,50,7.8,2419,20,339,278,15.11111111,0.090150611
1400000US18097351900,33.725,31.2,15.7,65.8,22.2,2630,4,408,170,13.55555555,0.035148116
1400000US18097352100,30.85,19.3,37.4,40.8,25.9,2036,7,761,237,13,0.001571467
1400000US18097352300,25.75,11.9,22.8,51.2,17.1,1120,4,251,180,11.91666667,0.008721577
1400000US18097352400,28.875,13.3,22.3,55,24.9,2877,27,635,303,12.33333333,0.121781888
1400000US18097352500,31.675,12.2,23.1,71.6,19.8,2982,7,654,285,14.33333333,0
1400000US18097352600,31.475,23.8,40.1,39.4,22.6,3601,17,1417,502,13.5,0.155504617
1400000US18097352700,33.95,33.1,22.3,49.9,30.5,2172,24,480,386,15.41666667,0.048505077
1400000US18097352800,26.275,5.7,29.3,42.7,27.4,1265,24,369,144,13.16666667,0.020934005
1400000US18097353300,15.275,23.8,15.8,15.3,6.2,2143,13,338,366,16.27777778,0
1400000US18097353500,27.6,37.9,40.8,20,11.7,2379,6,965,116,14.83333334,0.059747959
1400000US18097353600,31.275,30.8,25.5,49.1,19.7,3200,25,793,198,12.95833333,0.319762457
1400000US18097354400,26.55,30.6,12.4,43.5,19.7,1540,37,188,1035,17.5,0.006332453
1400000US18097354500,23.225,11,26.2,35.9,19.8,2167,26,563,236,13.75,0.006050362
1400000US18097354700,22.225,14.3,33.9,27,13.7,1535,13,520,157,13.08333334,0.000386284
1400000US18097354800,33.8,28.7,29.1,40.4,37,1847,11,533,263,11.77777778,0
1400000US18097354900,29.475,9.6,41.5,40.9,25.9,2604,12,1024,413,12.75,0
1400000US18097355000,29.85,6.3,41.9,38.2,33,2283,44,917,347,12.77777778,0
1400000US18097355100,41.175,11.7,64.3,34.1,54.6,1917,6,1218,306,14,0
1400000US18097355300,29.275,13,32.4,57.8,13.9,2462,11,747,406,13.41666667,0
1400000US18097355400,33.6,31.6,32.2,46.8,23.8,3088,15,994,290,13.61111111,0.022387845
1400000US18097355500,35.95,29.7,15.5,78.6,20,4236,3,655,202,11.5,0.095648386
